Table;Column;Example;Meaning (plain English);;;;;;;
DimDate;DateKey;20250115;A unique key for each day.;;;;;;;
DimDate;Date;1/15/25;The calendar date.;;;;;;;
DimDate;Year;2025;Year number.;;;;;;;
DimDate;Quarter;1;Quarter number (1–4).;;;;;;;
DimDate;MonthNumber;1;Month number (1–12).;;;;;;;
DimDate;MonthName;January;Month name.;;;;;;;
DimDate;YearMonth;2025-01;Month bucket label.;;;;;;;
DimPharmacy;PharmacyID;PH0042;Unique store ID.;;;;;;;
DimPharmacy;PharmacyName;Paris HealthPoint #042;Store display name.;;;;;;;
DimPharmacy;Country;France;Country where the store is.;;;;;;;
DimPharmacy;Region;Île-de-France;Region inside a country.;;;;;;;
DimPharmacy;City;Paris;City where the store is.;;;;;;;ta 
DimPharmacy;PharmacyType;Urban;Whether the store is urban/suburban/rural.;;;;;;;
DimPharmacy;OpenDate;6/10/19;When the store opened.;;;;;;;
DimPharmacy;StoreSizeBand;M;Small/Medium/Large store size.;;;;;;;
DimPharmacy;Latitude;48,8571;Map coordinate (north/south).;;;;;;;
DimPharmacy;Longitude;2,3509;Map coordinate (east/west).;;;;;;;
DimProduct;ProductID;PR0107;Unique product ID.;;;;;;;
DimProduct;ProductName;Medica Ibuprofen 400 mg;Display name of the product.;;;;;;;
DimProduct;Category;OTC;High-level product group.;;;;;;;
DimProduct;Brand;Medica;Brand family.;;;;;;;
DimProduct;IsGeneric;Yes;Whether product is generic.;;;;;;;
DimProduct;PackSize;20 tablets;Package format.;;;;;;;
DimProduct;ListPriceEUR;12,99;Base list price (before country/promo effects).;;;;;;;
DimProduct;StandardCostEUR;9,1;Base cost (before country effects).;;;;;;;
DimProduct;LaunchDate;3/15/20;When the product became available.;;;;;;;
DimProduct;IsDiscontinued;No;Whether product has been discontinued.;;;;;;;
DimProduct;DiscontinuedDate;5/1/25;Date after which product is no longer sold.;;;;;;;
FactSales;SalesID;S0001234;Unique row ID for a sales record.;;;;;;;
FactSales;DateKey;20250115;The day of the sale.;;;;;;;
FactSales;PharmacyID;PH0042;Which store sold it.;;;;;;;
FactSales;ProductID;PR0107;Which product was sold.;;;;;;;
FactSales;UnitsSold;6;How many units were sold in that row.;;;;;;;
FactSales;RevenueEUR;54,3;Total revenue for that row.;;;;;;;
FactSales;CostEUR;40,1;Total cost for that row.;;;;;;;
FactSales;MarginEUR;14,2;Profit for that row (Revenue − Cost).;;;;;;;
FactSales;PromoFlag;Yes;Whether the row was sold on promo.;;;;;;;
